what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047164059
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047173345
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047173391
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047184773
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047194715
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047197252
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047198450
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364047202171
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047204121
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047204195
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364047208100
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047208139
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047208149
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047208159
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047208167
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047208172
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047208177
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364047208182
no handler,command,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef.zoom_out",1364047214557
no handler,command,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef.zoom_out",1364047214893
no handler,command,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef.zoom_out",1364047215093
no handler,command,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef.zoom_out",1364047215269
no handler,command,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef.zoom_out",1364047215421
no handler,command,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef.zoom_out",1364047215549
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047228221
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047357114
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047358411
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047366230
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047368196
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364047403009
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364047403061
